2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/20:57:30		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/20:57:31		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/20:57:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/20:57:31		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/20:57:32		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/20:57:32		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/20:57:33		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/20:57:34		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/20:57:34		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-08/21:06:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-08/21:06:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-08/21:06:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-08/21:06:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-08/21:06:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-08/21:06:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-08/21:06:48		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-08/21:06:49		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-08/21:06:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/17:54:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/17:54:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/17:54:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/17:54:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/17:54:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/17:54:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/17:54:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/17:54:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/17:54:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/18:05:52		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/18:05:52		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/18:05:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/18:05:53		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/18:05:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/18:05:54		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/18:05:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/18:05:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/18:05:56		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/19:06:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/19:06:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/19:06:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/19:06:15		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/19:06:16		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/19:06:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/19:06:17		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/19:06:18		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/19:06:18		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/19:08:46		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/19:08:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/19:08:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/19:08:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/19:08:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/19:08:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/19:08:48		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/19:08:49		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/19:08:49		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/21:14:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/21:14:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/21:14:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/21:14:14		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/21:14:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/21:14:15		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/21:14:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/21:14:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/21:14:16		 wafer_29012020_050617.csv: File Transformed successfully!!
